Month,Miles Traveled,Passengers,Average Operational Vehicles,Service Days
Jan-1985,67594,205521,54.59,20
Feb-1985,81431,268682,53.9,23
Mar-1985,75122,222300,58.13,23
Apr-1985,91214,281254,55.6,25
May-1985,42992,96018,42.82,23
Jun-1985,25926,33564,34.7,25
Jul-1985,34221,54142,32.02,26
Aug-1985,42252,129977,45.4,18
Sep-1985,108930,357689,55.6,24
Oct-1985,108354,352815,56.19,27
Nov-1985,77780,239902,56.32,20
Dec-1985,67487,184492,54.44,19
Jan-1986,65071,202026,56.01,19
Feb-1986,85651,276199,51.68,23
Mar-1986,62812,193562,53.43,19
Apr-1986,90078,279063,62.51,26
May-1986,37445,74741,45.63,22
Jun-1986,27280,30054,37.43,25
Jul-1986,34062,49561,35.53,25
Aug-1986,42546,115403,45.16,18
Sep-1986,101879,319090,53.35,25
Oct-1986,105541,320148,60.35,27
Nov-1986,63669,183083,59.48,18
Dec-1986,55952,155382,55.24,18
Jan-1987,64590,191555,56.38,21
Feb-1987,76806,241425,55.71,23
Mar-1987,64790,201793,57.51,20
Apr-1987,79108,226668,58.78,24
May-1987,33903,60798,44.19,21
Jun-1987,27146,25889,39.05,26
Jul-1987,34285,48461,34.93,25
Aug-1987,47769,139241,47.81,21
Sep-1987,104019,347573,57.46,25
Oct-1987,100840,334047,58.31,27
Nov-1987,97994,232220,56.81,19
Dec-1987,54509,164197,55.32,17
Jan-1988,67635,207497,54.79,22
Feb-1988,86551,287265,53.72,25
Mar-1988,74451,231807,55.48,25
Apr-1988,75512,237595,52.87,24
May-1988,29231,50355,33.46,17
Jun-1988,28210,25318,23.37,26
Jul-1988,31915,51369,27.17,23
Aug-1988,63029,179281,51.27,23
Sep-1988,103564,352402,57.74,25
Oct-1988,104575,340851,60.35,26
Nov-1988,66076,204419,58.29,18
Dec-1988,47602,131275,58.12,15
Jan-1989,77236,242012,58.21,23
Feb-1989,85402,274371,57.33,24
Mar-1989,64061,200314,58.3,18
Apr-1989,79466,250345,60.16,25
May-1989,32710,53521,41.08,21
Jun-1989,25309,24068,33.23,26
Jul-1989,33546,56723,36.21,25
Aug-1989,68558,218038,49.28,23
Sep-1989,108415,357792,60.55,25
Oct-1989,104258,350533,57.86,26
Nov-1989,77220,245848,60.71,20
Dec-1989,41644,116084,54.48,14
Jan-1990,80731,263073,59.93,24
Feb-1990,84161,287721,60.12,24
Mar-1990,75411,230011,59.49,25
Apr-1990,79277,247351,58.67,23
May-1990,23730,43877,40.68,14
Jun-1990,28030,27827,35.79,26
Jul-1990,33128,54355,35.32,25
Aug-1990,73947,222169,49.96,24
Sep-1990,97301,332775,59.2,24
Oct-1990,104437,355334,62.2,27
Nov-1990,68787,225564,58.28,19
Dec-1990,41366,108236,54.55,15
Jan-1991,84997,278720,58.95,25
Feb-1991,85519,272757,57.72,24
Mar-1991,56646,177308,60.84,18
Apr-1991,79374,247837,56.63,26
May-1991,22336,36895,32.48,16
Jun-1991,26537,28151,29.96,25
Jul-1991,35542,65181,43.94,26
Aug-1991,46508,152931,51.21,18
Sep-1991,100571,361892,54.77,24
Oct-1991,108112,381826,111.21,27
Nov-1991,70642,244115,53.9,19
Dec-1991,60875,176953,52.97,18
Jan-1992,66805,218558,55.49,18
Feb-1992,90076,302721,57.43,25
Mar-1992,68478,218311,59.32,20
Apr-1992,81206,236934,59.38,24
May-1992,34612,63838,41.02,21
Jun-1992,27358,32199,34.44,26
Jul-1992,36189,61552,38.55,25
Aug-1992,50491,159407,58.27,22
Sep-1992,104133,357753,58.81,25
Oct-1992,107983,355819,60.34,27
Nov-1992,63963,201681,61.26,18
Dec-1992,51989,145653,61.51,17
Jan-1993,67230,210885,59.13,21
Feb-1993,84609,251903,61.84,24
Mar-1993,68990,205034,59.53,20
Apr-1993,77939,221381,59.21,24
May-1993,31359,49274,37.96,21
Jun-1993,28581,32529,34.03,26
Jul-1993,33279,52499,32.64,26
Aug-1993,59578,168110,55.66,23
Sep-1993,98398,319868,56.5,25
Oct-1993,94717,290166,59,26
Nov-1993,71105,209776,59.06,20
Dec-1993,44748,112628,59.55,16
Jan-1994,46520,144480,55.6,17
Feb-1994,73400,213203,55.84,24
Mar-1994,59179,165028,56.22,20
Apr-1994,68936,187752,56.65,24
May-1994,21828,35047,42.08,13
Jun-1994,27615,31011,37.01,26
Jul-1994,33371,55278,33.76,25
Aug-1994,62407,186156,99.5,26
Sep-1994,95157,319628,50.85,25
Oct-1994,88624,290083,50.11,26
Nov-1994,63509,188386,52.88,20
Dec-1994,41377,102247,53.74,15
Jan-1995,70141,203930,56.37,23
Feb-1995,78239,208814,54.43,24
Mar-1995,63094,173587,54.03,20
Apr-1995,64090,170188,55.8,23
May-1995,22058,33817,32.75,13
Jun-1995,28982,32374,25.81,26
Jul-1995,34999,59404,38.68,25
Aug-1995,60059,181522,43.32,23
Sep-1995,90712,282213,51.6,25
Oct-1995,87994,267106,48.67,26
Nov-1995,62506,173324,48.41,19
Dec-1995,37377,83238,50.06,14
Jan-1996,60170,175467,49.67,21
Feb-1996,74126,194401,49.82,25
Mar-1996,53205,132291,51.8,20
Apr-1996,65434,164233,51.25,24
May-1996,24385,26451,36.63,16
Jun-1996,28706,25190,37.27,25
Jul-1996,35846,61699,40.43,26
Aug-1996,64769,200448,52.29,25
Sep-1996,89907,291181,51.77,24
Oct-1996,98348,299055,111.05,27
Nov-1996,57688,160321,61.05,18
Dec-1996,32867,75267,57.03,12
Jan-1997,74912,192220,56.92,25
Feb-1997,61158,169675,60.42,24
Mar-1997,58401,128041,59.65,18
Apr-1997,67016,161017,59.75,26
May-1997,18068,22174,45.23,16
Jun-1997,25706,32532,43.56,25
Jul-1997,34040,49003,46.32,26
Aug-1997,65692,189870,56.24,24
Sep-1997,87483,269236,57.77,25
Oct-1997,92574,268402,55.02,27
Nov-1997,53608,155052,51.54,19
Dec-1997,31917,70938,53.19,12
Jan-1998,56360,144172,52.47,21
Feb-1998,69980,180221,51.46,24
Mar-1998,53149,132276,57.22,19
Apr-1998,63334,152479,47.12,25
May-1998,15222,24557,26,8
Jun-1998,0,0,0,0
Jul-1998,34710,48470,33.38,26
Aug-1998,35650,119200,46.74,12
Sep-1998,75887,297684,47.62,25
Oct-1998,82722,261988,54.86,27
Nov-1998,57862,164565,53.67,18
Dec-1998,47990,112114,57.47,17
Jan-1999,58963,150388,51.33,21
Feb-1999,72624,182817,51.44,24
Mar-1999,61692,149298,54.97,21
Apr-1999,69181,161073,53.61,24
May-1999,25924,32955,38.23,17
Jun-1999,28711,30207,35.69,26
Jul-1999,35300,79748,40.63,26
Aug-1999,52359,158484,51.48,21
Sep-1999,86110,290114,54.93,25
Oct-1999,90921,280410,54.47,26
Nov-1999,69215,215896,53.69,20
Dec-1999,43363,105714,51.67,16
Jan-2000,64841,168536,56.41,22
Feb-2000,77824,206379,56.4,25
Mar-2000,64386,161699,56.09,21
Apr-2000,66684,163225,52.98,23
May-2000,22871,61934,44.46,15
Jun-2000,28563,26667,46.72,26
Jul-2000,34488,55193,217.15,25
Aug-2000,56346,175843,46.68,23
Sep-2000,90035,299486,45.55,25
Oct-2000,92352,292302,50.49,26
Nov-2000,64062,186532,51.35,19
Dec-2000,36931,88556,48.3,14
Jan-2001,101988,191153,46.86,24
Feb-2001,70524,189947,49.11,24
Mar-2001,39092,109613,53.32,20
Apr-2001,68095,165555,46.69,24
May-2001,21727,28449,44.53,15
Jun-2001,31205,37056,43.25,26
Jul-2001,29544,46543,44.56,25
Aug-2001,66135,210683,48.58,24
Sep-2001,91201,297087,44.18,24
Oct-2001,97670,296462,51.19,27
Nov-2001,67212,196246,50.73,20
Dec-2001,33400,79482,45,13
Jan-2002,55458,155477,47.93,19
Feb-2002,72577,197872,49.2,24
Mar-2002,54986,144263,53.94,19
Apr-2002,74012,188481,55.35,26
May-2002,35601,59915,47.39,22
Jun-2002,29235,34876,38.88,25
Jul-2002,28310,37658,40.64,26
Aug-2002,65403,206980,46.12,24
Sep-2002,80543,300294,43.84,24
Oct-2002,92015,305243,47.54,27
Nov-2002,57609,170109,50.55,18
Dec-2002,28364,74725,43.27,12
Jan-2003,56370,168485,42.59,20
Feb-2003,71788,189286,41.4,23
Mar-2003,58078,159147,41.86,19
Apr-2003,79395,186717,42.52,25
May-2003,32813,50076,40.06,22
Jun-2003,28367,32771,35.46,25
Jul-2003,27370,32957,37.78,26
Aug-2003,67785,244431,62.41,24
Sep-2003,94810,359383,47.31,25
Oct-2003,93387,336929,47.47,27
Nov-2003,64334,207294,42.83,19
Dec-2003,33174,88669,44.96,12
Jan-2004,65348,189875,42.4,21
Feb-2004,76501,240703,40.73,24
Mar-2004,71992,199450,37.35,20
Apr-2004,73498,210171,42.66,25
May-2004,24717,37761,45.56,16
Jun-2004,31506,42605,42.15,26
Jul-2004,29429,35563,42.15,26
Aug-2004,48218,184152,41.19,21
Sep-2004,107435,393217,38.72,25
Oct-2004,87884,316757,39.54,26
Nov-2004,64241,224917,34.54,18
Dec-2004,44896,124424,234.48,17
Jan-2005,57147,180680,33.06,22
Feb-2005,70987,218106,32.94,24
Mar-2005,55777,171285,30.56,19
Apr-2005,72464,206781,37.89,26
May-2005,22805,35880,39.41,16
Jun-2005,29580,30958,38.1,26
Jul-2005,27007,36556,42.24,25
Aug-2005,61544,213404,46.57,25
Sep-2005,110154,389512,44.04,25
Oct-2005,98716,333429,36.01,26
Nov-2005,64687,236715,31.57,20
Dec-2005,40944,112699,32.05,16
Jan-2006,73829,231332,34.66,23
Feb-2006,87010,244786,35.52,24
Mar-2006,66056,191060,38.48,20
Apr-2006,71463,193880,42.11,24
May-2006,25069,37922,44.46,16
Jun-2006,29580,33048,42.7,26
Jul-2006,27038,29588,43.18,25
Aug-2006,73146,241330,47.14,26
Sep-2006,109786,400024,43.74,25
Oct-2006,105821.9,360570,40,26
Nov-2006,71513,235552,39.34,19
Dec-2006,44705,122607,39.55,14
Jan-2007,81111.6,244467,39.23,25
Feb-2007,79036,229265,41.92,24
Mar-2007,62302,179584,34.27,20
Apr-2007,74112.8,205609,35.97,25
May-2007,22595,34241,32.68,14
Jun-2007,28816,32739,31.43,26
Jul-2007,27692,35186,42.42,25
Aug-2007,74245,254830,39.9,25
Sep-2007,96930,353953,35.05,24
Oct-2007,111441,365945,39.21,27
Nov-2007,75283,241293,50.11,20
Dec-2007,40954,106178,41.65,14
Jan-2008,65240,186668,42.98,19
Feb-2008,86932,233026,46.18,25
Mar-2008,63155,174065,47.87,18
Apr-2008,98474,249420,47.32,27
May-2008,28892,55526,43.29,14
Jun-2008,28503,37191,38.31,25
Jul-2008,29635,38392,48.33,26
Aug-2008,75775,286623,49.22,23
Sep-2008,120036,417131,42.49,25
Oct-2008,127123,409724,44.76,27
Nov-2008,68506,216133,44.85,17
Dec-2008,42836,112099,42.91,13
Jan-2009,68978.3,208078,45.42,22
Feb-2009,81548,258283,40.79,24
Mar-2009,65744,200814,43.07,19
Apr-2009,114274,237284,41.06,25
May-2009,19808,38207,37.12,8
Jun-2009,0,0,0,0
Jul-2009,0,0,0,0
Aug-2009,40057,174150,41.44,13
Sep-2009,108132,407297,39.54,26
Oct-2009,109170,369829,41.92,27
Nov-2009,74048,236360,42.73,19
Dec-2009,53.664,152093,36.93,17
Jan-2010,63407,207917,42.83,21
Feb-2010,73168,264355,34.5,23
Mar-2010,77039,255753,34.45,23
Apr-2010,75823,242123,36.55,23
May-2010,23483,45770,33.97,19
Jun-2010,30187,39845,40.93,26
Jul-2010,27434,34822,32.18,25
Aug-2010,51572,187507,30.15,19
Sep-2010,99175,371822,32.85,25
Oct-2010,104348,357839,33.51,27
Nov-2010,72265,224483,30.46,18
Dec-2010,51679,132209,30.72,17
Jan-2011,67546,195640,31.21,23
Feb-2011,86314.6,238006,30.23,24
Mar-2011,66924.7,200908,30.23,20
Apr-2011,77076,219246,35.74,24
May-2011,28755,46894,29.77,19
Jun-2011,29498.9,36561,36.95,26
Jul-2011,31805.5,37227,36.71,25
Aug-2011,64736,214461,33.48,20
Sep-2011,112469.2,403313,32.04,26
Oct-2011,133330.1,334120,29.15,26
Nov-2011,79268.1,258590,35.33,21
Dec-2011,46210.5,122753,33.69,15
Jan-2012,68372.2,223012,34.3,22
Feb-2012,87054.4,256658,42.11,24
Mar-2012,69088.4,197962,42.61,20
Apr-2012,79441.92,222675,41.89,24
May-2012,18195.6,28914,42.5,8
Jun-2012,30035.6,31990,40.27,26
Jul-2012,32583,48622,40.54,25
Aug-2012,78692,241760,37.88,26
Sep-2012,106059.4,359866,39.01,24
